index	prediction
0	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
1	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
2	['Aggregate', 'Has Target Disease', 'Has Study Drug(s)']
3	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Comparator Group']
4	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)']
5	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)']
6	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
7	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
8	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
9	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
10	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Population Size']
11	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
12	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
13	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
14	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
15	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
16	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
17	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
18	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
19	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
20	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
21	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
22	['Aggregate', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
